"BookTitle","AuthorName","BookRating"
"To Hell in a Handbasket (Claire Hanover, Gift Basket Designer, #2)","Beth Groundwater","3.76"
"Crippen","John Boyne","3.84"
"Murder at Dublin Mensa (Mensa Mystery Series #3)","Clare O'Beara","reall"
"The Girl in the Next Room (A Sam Russo Mystery, #3)","Ki Longfellow","4.10"
"Bitter Secrets","Patty Brant","3.33"
"Deadly Heritage","Toni Leland","3.92"
"Boy Made of Dawn (Navajo Nation Mystery, #2)","R. Allen Chappell","4.11"
"Whose Body?  (Lord Peter Wimsey, #1)","Dorothy L. Sayers","3.90"
"Hidden Riches","Nora Roberts","3.97"
"The Cold Cold Ground (Detective Sean Duffy, #1)","Adrian McKinty","3.92"
"Strawberries Are Free","W.T. O'Brien","4.33"
"Thrilled to Death","L.J. Sellers","4.04"
"The Sleeper","Emily Barr","3.75"
"Murder At Kildare Mensa (Mensa Mystery Series #4)","Clare O'Beara","reall"
"InSight","Polly Iyer","3.85"
"All Mortal Flesh (The Rev. Clare Fergusson & Russ Van Alstyne Mysteries #5)","Julia Spencer-Fleming","4.13"
"Winning Ways","Toni Leland","3.71"
"Shadow Woman (Jane Whitefield, #3)","Thomas Perry","4.12"
"Long Upon the Land (Deborah Knott Mysteries, #20)","Margaret Maron","4.08"
"A Walk in the Dark","Gianrico Carofiglio","3.85"
"The Man Who Went Up in Smoke (Martin Beck, #2)","Maj Sjîwall","3.84"
"Roadkill (Kinky Friedman, #10)","Kinky Friedman","3.71"
"Somebody Owes Me Money (Hard Case Crime #44)","Donald E. Westlake","3.78"
"Gray Ghost","C.L. Swinney","4.03"
"Murder on the Lusitania (George Porter Dillman & Genevieve Masefield, #1)","Conrad Allen","3.62"
"Murder At Wicklow Mensa (Mensa Mystery Series #5)","Clare O'Beara","4.46"
"Double Whammy (Davis Way Crime Caper, #1)","Gretchen Archer","3.88"
"Gambling with the Enemy","Toni Leland","3.76"
"The Last Coyote: Harry Bosch Mystery 4: Harry Bosch Mystery 4","Michael Connelly","4.22"
"Cosç Fan Tutti (Aurelio Zen, #5)","Michael Dibdin","3.67"
"De vorm van slangen","Minette Walters","3.77"
"Constable's Run (Constable, #1)","Laurie Moore","4.25"
"Burn (Anna Pigeon, #16)","Nevada Barr","3.62"
"Blacklist (V.I. Warshawski, #11)","Sara Paretsky","3.82"
"The Holiday Murders","Robert Gott","3.74"
"Murder at Monticello (Mrs. Murphy #3)","Rita Mae Brown","3.88"
"Saving the Queen of Diamonds","Susan Schreyer","4.82"
"Out of the Deep I Cry (Rev. Clare Fergusson & Russ Van Alstyne Mysteries, #3)","Julia Spencer-Fleming","4.15"
"Hearts Over Fences","Toni Leland","3.75"
"Woud van de dood  (Mary Crow,# 1)","Sallie Bissell","3.76"
"How the Light Gets In (Chief Inspector Armand Gamache, #9)","Louise Penny","4.41"
"De tondeldoos","Minette Walters","3.42"
"Bury Your Dead (Armand Gamache, #6)","Louise Penny","4.34"
"The Last Motel","Brett McBean","3.87"
"Murder in the Multiples (Book 2)","Kait Carson","4.55"
"Rescue Me","Toni Leland","3.93"
"Cruel Summer","James Dawson","3.97"
"Mr. Mercedes (Bill Hodges Trilogy, #1)","Stephen King","3.93"
"The Remains","Vincent Zandri","3.59"
"De behandeling","Mo Hayder","4.03"
"Among the Wicked (Kate Burkholder #8)","Linda Castillo","4.19"
"Van Edgar Allan Poe tot Dashiell Hammett : De beste misdaadverhalen","Erik Lankester","3.50"
"The Mother","Brett McBean","3.85"
"A Cold-Blooded Business (Kate Shugak, #4)","Dana Stabenow","4.13"
"Brothers' Tears (Inspector Peach #17)","J.M. Gregson","3.03"
"Fat Ollie's Book (87th Precinct, #52)","Ed McBain","3.69"
"Dieper dan de doden","Tami Hoag","4.06"
"Sanibel Flats (Doc Ford, #1)","Randy Wayne White","3.91"
"De elfde vinger : erotische misdaadverhalen van een dadai""st","Walter Serner","reall"
"Wolves Eat Dogs (Arkady Renko, #5)","Martin Cruz Smith","3.94"
"Kaãken","Jean-Christophe GrangÇ","3.57"
"Least of Evils (Inspector Peach #16)","J.M. Gregson","3.46"
"Black Water Rising","Attica Locke","3.42"
"Fandorin","Boris Akunin","3.87"
"A Cold Day in Paradise (Alex McKnight, #1)","Steve Hamilton","3.78"
"Kraaienvoer","Douglas Preston","4.18"
"Tatiana (Arkady Renko, #8)","Martin Cruz Smith","3.70"
"Miserere","Jean-Christophe GrangÇ","3.84"
"Only A Game (Inspector Peach #14)","J.M. Gregson","3.31"
"De fazantenmoordenaars (Serie Q, #2)","Jussi Adler-Olsen","3.86"
"Het graf","Henning Mankell","3.67"
"A Place of Hiding (Inspector Lynley, #12)","Elizabeth  George","3.89"
"Polar Star (Arkady Renko, #2)","Martin Cruz Smith","3.99"
"Le Passager","Jean-Christophe GrangÇ","4.02"
"Wild Justice (Inspector Peach #13)","J.M. Gregson","3.62"
"For Kicks","Dick Francis","3.97"
"Misleid","Pieter Aspe","3.47"
"Smoke","Donald E. Westlake","3.75"
"A Calamitous Chinese Killing (Inspector Singh Investigates #6)","Shamini Flint","3.90"
"By Its Cover (Commissario Brunetti, #23)","Donna Leon","3.74"
"A Serpent's Tooth (Walt Longmire, #9)","Craig Johnson","4.27"
"Le Serment des limbes","Jean-Christophe GrangÇ","4.09"
"Pastures New (Inspector Peach #12)","J.M. Gregson","3.62"
"De mythe van Methusalem (Thomas Berg, #7)","Jo Claes","3.80"
"French Silk","Sandra Brown","3.80"
"Out of the Line of Fire","Mark Henshaw","3.71"
"What Came Before He Shot Her (Inspector Lynley, #14)","Elizabeth  George","3.54"
"The Girl With Braided Hair (Wind River Reservation, #13)","Margaret Coel","4.07"
"The Reunion","Amy Silver","3.86"
"Remains to Be Seen (Inspector Peach #11)","J.M. Gregson","3.15"
"De noodkreet in de fles (Serie Q, #3)","Jussi Adler-Olsen","4.03"
"The Corpse in Oozak's Pond (Peter Shandy, #6)","Charlotte MacLeod","3.75"
"The Underground Man","Ross Macdonald","3.96"
"Town in a Lobster Stew (A Candy Holliday Mystery, #2)","B.B. Haywood","3.79"
"The Witch's Sabbath (Inspector Peach #10)","J.M. Gregson","3.63"
"Jacquot and the Fifteen (Daniel Jacquot, #4)","Martin O'Brien","4.02"
"Hell Is Empty (Walt Longmire, #7)","Craig Johnson","4.29"
"A Little Learning (Inspector Peach #6)","J.M. Gregson","3.49"
"I Still Miss My Man But My Aim Is Getting Better","Sarah Shankman","3.56"
"Vanishing Act (Jane Whitefield, #1)","Thomas Perry","4.02"
"Het Medusa ultimatum","Robert Ludlum","4.05"
"A Steak in Murder (Hemlock Falls Mysteries, #7)","Claudia Bishop","3.68"
"Beautiful Death","Fiona McIntosh","3.94"
"A Swollen Red Sun","Matthew McBride","3.71"
"Zondaarskind","Marion Pauw","3.75"
"Death by Rhubarb (Heaven Lee, #1)","Lou Jane Temple","3.60"
"Junkyard Dogs (Walt Longmire, #6)","Craig Johnson","4.26"
"A Turbulent Priest (Inspector Peach #4)","J.M. Gregson","3.85"
"Final Resort (Treasure Seekers #3)","Dana Mentink","3.96"
"Restless In The Grave (Kate Shugak, #19 / Liam Campbell, #5)","Dana Stabenow","4.17"
"Watching the Dark (Inspector Banks, #20)","Peter Robinson","3.97"
"The Outfit (Parker, #3)","Richard Stark","4.14"
"Headhunters","Jo Nesbo","3.79"
"Lazybones (Tom Thorne, #3)","Mark Billingham","4.06"
"The Dark Horse (Walt Longmire, #5)","Craig Johnson","4.28"
"The Counterfeit Killers","Bill Knox","3.50"
"De rode wolf","Liza Marklund","3.52"
"Scoop to Kill (A Mystery a La Mode, #2)","Wendy Lyn Watson","3.85"
"Blood Proof","Bill Knox","3.83"
"The Death of the Detective","Mark  Smith","3.40"
"De partner","John Grisham","3.90"
"Pushing Up Bluebonnets (A Yellow Rose Mystery, #5)","Leann Sweeney","4.02"
"A Killing in Antiques","Bill Knox","4.11"
"The Lost Get-Back Boogie","James Lee Burke","4.12"
"Horse to Die For","Carolyn Banks","3.87"
"Pilot Error","Bill Knox","3.36"
"The Summer That Never Was (Inspector Banks, #13)","Peter Robinson","4.02"
"To Kill a Witch","Bill Knox","3.38"
"Simon Sixsmith: A Ghost Story","Daniel Pembrey","3.40"
"Reflex","Dick Francis","4.05"
"A Killing in Kensington (Patrick Shea Mystery, #2)","Mary Lydon Simonsen","3.66"
"The Accident","Chris Pavone","3.59"
"The Crossing Places (Ruth Galloway, #1)","Elly Griffiths","3.88"
"Night Shift (Midnight, Texas, #3)","Charlaine Harris","4.08"
"Chump Change (Leo Waterman, #8)","G.M. Ford","reall"
"Sleep Like a Baby (Aurora Teagarden #10)","Charlaine Harris","3.70"
"Tracking Justice (Texas K-9 Unit, #1)","Shirlee McCoy","4.28"
"The Falls (Inspector Rebus, #12)","Ian Rankin","4.02"
"The Face-Changers (Jane Whitefield, #4)","Thomas Perry","4.13"
"Duivelspiek (Benny Griessel, #1)","Deon Meyer","4.03"
"The Girl Who Takes an Eye for an Eye (Millennium, #5)","David Lagercrantz","3.76"
"A Fool and His Honey (Aurora Teagarden Mystery, #6)","Charlaine Harris","3.78"
"Explosive Secrets (Texas K-9 Unit #4)","Valerie Hansen","4.22"
"If Looks Could Kill","Eileen Dreyer","3.83"
"Three Bedrooms, One Corpse","Charlaine Harris","3.79"
"Scent of Danger (Texas K-9 Unit #5)","Terri Reed","4.22"
"Seven Ways to Die","William Diehl","3.75"
"The Twelve Clues of Christmas (Her Royal Spyness Mysteries, #6)","Rhys Bowen","4.05"
"A Bone to Pick (Aurora Teagarden Mystery, #2)","Charlaine Harris","3.72"
"Guard Duty (Texas K-9 Unit, #3)","Sharon Dunn","4.24"
"Storm Front  (Virgil Flowers, #7)","John Sandford","3.94"
"Ice Cold (Rizzoli & Isles, #8)","Tess Gerritsen","4.15"
"Shakespeare's Champion (A Lily Bard Mystery, #2)","Charlaine Harris","3.82"
"Fire Sale (V.I. Warshawski, #12)","Sara Paretsky","3.94"
"Shakespeare's Christmas (Lily Bard, #3)","Charlaine Harris","3.87"
"The Smoke Room","Earl Emerson","3.86"
"The Blacksmith","Jenny Maxwell","4.15"
"Magpie Murders","Anthony Horowitz","3.95"
"Shakespeare's Counselor (Lily Bard, #5)","Charlaine Harris","3.90"
"Terms and Conditions","Peter Benjamin","3.33"
"The Expats","Chris Pavone","3.43"
"Designated Daughters (Deborah Knott Mysteries. #19)","Margaret Maron","3.89"
"Shadow Man (Smoky Barrett, #1)","Cody McFadyen","4.14"
"The Lily Bard Mysteries Omnibus (Lily Bard, #1-5)","Charlaine Harris","4.17"
"Help Wanted: Orphans Preferred (Mac Fontana, #2)","Earl Emerson","3.88"
"Easy Prey (Lucas Davenport, #11)","John Sandford","4.06"
"Calling","Joe Samuel Starnes","3.91"
"The Darker Side (Smoky Barrett, #3)","Cody McFadyen","4.12"
"The Julius House (Aurora Teagarden, #4)","Charlaine Harris","3.83"
"The Rope (Anna Pigeon, #17)","Nevada Barr","3.85"
"Run For Home (Lorraine Hunt, #1)","Sheila Quigley","3.86"
"Wicked Prey (Lucas Davenport, #19)","John Sandford","4.15"
"The Highwayman (Walt Longmire, #11.5)","Craig Johnson","4.20"
"Midnight Crossroad (Midnight, Texas, #1)","Charlaine Harris","3.67"
"Shallow Grave (Bill Slider,#7)","Cynthia Harrod-Eagles","3.99"
"Invisible Prey (Lucas Davenport, #17)","John Sandford","4.12"
"Sweet and Deadly","Charlaine Harris","3.38"
"Catfish Cafe (Thomas Black, #11)","Earl Emerson","3.85"
"Orchestrated Death (Bill Slider #1)","Cynthia Harrod-Eagles","3.82"
"Night Prey (Lucas Davenport, #6)","John Sandford","4.15"
"Day Shift (Midnight, Texas, #2)","Charlaine Harris","3.96"
"Dead Angler (A Loon Lake Mystery, #1)","Victoria Houston","3.76"
"Mind Prey (Lucas Davenport, #7)","John Sandford","4.19"
"Thicker than Water","G.M. Ford","3.78"
"Poppy Done to Death (Aurora Teagarden, #8)","Charlaine Harris","3.86"
"Sudden Prey (Lucas Davenport, #8)","John Sandford","4.16"
"Cimarron Rose (Billy Bob Holland, #1)","James Lee Burke","3.91"
"Club Dead (Sookie Stackhouse, #3)","Charlaine Harris","4.03"
"She Cries","Alexandra Allred","4.32"
"Silken Prey (Lucas Davenport, #23)","John Sandford","4.17"
"Die For Me (Bragg #8)","Jack Lynch","4.13"
"The Claw","Norah Lofts","3.12"
"Danger at the Border (Northern Border Patrol #1)","Terri Reed","4.04"
"Nightmare in Burgundy","Jean-Pierre Alaux","3.50"
"The Rainy City (Thomas Black, #1)","Earl Emerson","3.91"
"Catwalk (An Animals in Focus Mystery, #3)","Sheila Webster Boneham","4.10"
"Silent Prey (Lucas Davenport, #4)","John Sandford","4.14"
"Death's Half Acre (Deborah Knott Mysteries, #14)","Margaret Maron","3.96"
"Rough Country (Virgil Flowers, #3)","John Sandford","4.17"
"Memphis Ribs","Gerald Duff","3.53"
"Talking God (Leaphorn & Chee, #9)","Tony Hillerman","4.03"
"G is for Gumshoe (Kinsey Millhone, #7)","Sue Grafton","3.90"
"Cat in a Diamond Dazzle (Midnight Louie, #5)","Carole Nelson Douglas","3.97"
"Phantom Prey (Lucas Davenport, #18)","John Sandford","4.02"
"A Penny for the Hangman","Tom   Savage","3.93"
"Naked Prey (Lucas Davenport, #14)","John Sandford","4.19"
"The Long Way Home (Chief Inspector Armand Gamache, #10)","Louise Penny","4.07"
"Into the Inferno","Earl Emerson","3.86"
"Gravesend","William Boyle","4.07"
"Hidden Prey (Lucas Davenport, #15)","John Sandford","4.10"
"Tampa Burn (Doc Ford Mystery, #11)","Randy Wayne White","4.03"
"A Bad Day for Sorry (Bad Day, #1)","Sophie Littlefield","3.51"
"Come to Grief (Sid Halley, #3)","Dick Francis","3.98"
"Leavin' Trunk Blues","Ace Atkins","3.81"
"Sacred Clowns (Leaphorn & Chee, #11)","Tony Hillerman","4.01"
"Broken Prey (Lucas Davenport, #16)","John Sandford","4.16"
"Rhode Island Red","Charlotte   Carter","3.33"
"The Nature of the Beast (Chief Inspector Armand Gamache #11)","Louise Penny","4.22"
"The Way Through The Woods (Inspector Morse, #10)","Colin Dexter","4.13"
"The Dark Wind (Leaphorn & Chee, #5)","Tony Hillerman","4.08"
"Bonecrack","Dick Francis","3.97"
"The Quiet Game (Penn Cage #1)","Greg Iles","4.18"
"Deep Shadow (Doc Ford, #17)","Randy Wayne White","3.99"
"Mother Nature (Em Hansen Mystery, #3)","Sarah Andrews","3.54"
"The Indian Bride (Inspector Konrad Sejer, #5)","Karin Fossum","3.81"
"Mortal Prey (Lucas Davenport, #13)","John Sandford","4.21"
"All That Glitters (A Jake & Laura Mystery, #2)","Michael  Murphy","4.02"
"Dead Silence (Doc Ford, #16)","Randy Wayne White","3.88"
"The Bone Bed (Kay Scarpetta, #20)","Patricia Cornwell","3.65"
"Waiting for Wednesday (Frieda Klein, #3)","Nicci French","3.87"
"The Waters of Eternal Youth (Commissario Brunetti, #25)","Donna Leon","4.05"
"Thursday's Child (Frieda Klein, #4)","Nicci French","3.88"
"Chosen Prey (Lucas Davenport, #12)","John Sandford","4.23"
"Beware Beware: A Juniper Song Mystery","Steph Cha","4.01"
"A Trick of the Light (Chief Inspector Armand Gamache, #7)","Louise Penny","4.30"
"The Burying Ground: A Thaddeus Lewis Mystery","Janet Kellough","3.84"
"The Second Life of Nick Mason (Nick Mason, #1)","Steve Hamilton","3.71"
"Sweet Tooth","Ian McEwan","3.40"
"The Silence of the Library (Cat in the Stacks, #5)","Miranda James","3.98"
"What's So Funny? (Dortmunder, #14)","Donald E. Westlake","3.87"
"Chasing Midnight (Doc Ford,  #19)","Randy Wayne White","3.64"
"Out of Circulation (Cat in the Stacks, #4)","Miranda James","4.06"
"Blanche Cleans Up: A Blanche White Mystery #3 (Blanche White series)","Barbara Neely","3.99"
"A Fatal Grace (Chief Inspector Armand Gamache, #2)","Louise Penny","4.11"
"The Anodyne Necklace (Richard Jury, #3)","Martha Grimes","4.04"
"The Kill (Maeve Kerrigan, #5)","Jane Casey","4.12"
"File M for Murder (Cat in the Stacks, #3)","Miranda James","4.01"
"Gone (Hannah Smith, #1)","Randy Wayne White","3.47"
"Burn Marks (V.I. Warshawski, #6)","Sara Paretsky","3.88"
"Studs and Stilettos (Hearts and Hoofbeats #2)","Bev Pettersen","4.06"
"Harbour Street (Vera Stanhope, #6)","Ann Cleeves","4.05"
"Classified as Murder (Cat in the Stacks, #2)","Miranda James","4.05"
"A Stolen Season (Alex McKnight, #7)","Steve Hamilton","3.95"
"Rescue at Cardwell Ranch (Cardwell Cousins, #2)","B.J. Daniels","4.27"
"Second Watch (J.P. Beaumont, #21)","J.A. Jance","4.15"
"Murder Past Due (Cat in the Stacks, #1)","Miranda James","3.82"
"A Rule Against Murder (Chief Inspector Armand Gamache, #4)","Louise Penny","4.20"
"Pyro","Earl Emerson","3.79"
"Murder Among Us (Mitchell and Markby Village, #4)","Ann Granger","3.76"
"Cooking the Books (Corinna Chapman, #6)","Kerry Greenwood","3.95"
"Drawing Conclusions (Commissario Brunetti, #20)","Donna Leon","3.85"
"Why Me? (Dortmunder, #5)","Donald E. Westlake","4.08"
"A Season for Murder (Mitchell and Markby Village, #2)","Ann Granger","3.70"
"Blind Justice (William Monk, #19)","Anne Perry","3.93"
"Forbidden Fruit (Corinna Chapman, #5)","Kerry Greenwood","3.99"
"Falling in Love (Commissario Brunetti, #24)","Donna Leon","3.78"
"Hardball (V.I. Warshawski, #13)","Sara Paretsky","3.97"
"Mission to Murder (A Tourist Trap Mystery #2)","Lynn Cahoon","3.88"
"The Shifting Tide (William Monk, #14)","Anne Perry","4.05"
"Trick or Treat (Corinna Chapman, #4)","Kerry Greenwood","3.91"
"Vertical Burn","Earl Emerson","3.83"
"A Breach of Promise (William Monk, #9)","Anne Perry","4.05"
"Earthly Delights (Corinna Chapman, #1)","Kerry Greenwood","3.83"
"Cain His Brother (William Monk, #6)","Anne Perry","3.97"
"Heavenly Pleasures (Corinna Chapman, #2)","Kerry Greenwood","3.92"
"Body of Evidence (Kay Scarpetta, #2)","Patricia Cornwell","4.01"
"The Sins of the Wolf (William Monk, #5)","Anne Perry","4.07"
"Devil's Food (Corinna Chapman, #3)","Kerry Greenwood","3.95"
"Red Mist (Kay Scarpetta, #19)","Patricia Cornwell","3.75"
"Defend and Betray (William Monk, #3)","Anne Perry","3.99"
"Silver Justice","Russell Blake","3.77"
"Hollywood Station (Hollywood Station, #1)","Joseph Wambaugh","3.71"
"Blood Shot (V.I. Warshawski, #5)","Sara Paretsky","4.01"
"Death at Windsor Castle (Her Majesty Investigates #3)","C.C. Benison","3.75"
"The Woman Who Married a Bear (Cecil Younger, #1)","John Straley","3.58"
"Cape Disappointment (Thomas Black, #12)","Earl Emerson","3.86"
"Illusions","Janet Dailey","3.46"
"Goodnight, Irene (Irene Kelly #1)","Jan Burke","3.90"
"Play With Fire (Kate Shugak, #5)","Dana Stabenow","4.11"
"Don't Look Back","Karin Fossum","3.80"
"Trust Me On This (Sara & Jack, #1)","Donald E. Westlake","3.82"
"Knit One, Kill Two (A Knitting Mystery, #1)","Maggie Sefton","3.58"
"He Who Fears the Wolf (Inspector Konrad Sejer, #3)","Karin Fossum","3.78"
"Blue Twilight (Rachel Porter, #8)","Jessica Speart","3.91"
"Everywhere That Mary Went (Rosato & Associates, #1)","Lisa Scottoline","3.80"
"Breakdown  (V.I. Warshawski, #15)","Sara Paretsky","3.88"
"Coastal Disturbance (Rachel Porter, #7)","Jessica Speart","4.03"
"Remember Me, Irene (Irene Kelly #4)","Jan Burke","3.96"
"Jingle Bell Bark (Melanie Travis, #11)","Laurien Berenson","3.95"
"Bones (Irene Kelly, #7)","Jan Burke","3.98"
"White Trash (White Series)","Alexandra Allred","4.26"
"Shatter The Bones (Logan McRae, #7)","Stuart MacBride","4.20"
"Body Work (V.I. Warshawski, #14)","Sara Paretsky","3.88"
"The Herb Gardener","Maris Morton","4.40"
"Close to the Bone (Logan McRae, #8)","Stuart MacBride","4.15"
"Nobody's Perfect (Dortmunder, #4)","Donald E. Westlake","3.96"
"Tennessee Takedown (Tennessee SWAT #1)","Lena Diaz","4.14"
"Blind Eye (Logan McRae, #5)","Stuart MacBride","4.15"
"Broken Skin (Logan McRae, #3)","Stuart MacBride","4.15"
"Twelve Mile Limit (Doc Ford, #9)","Randy Wayne White","4.09"
"For Rent: Dangerous Paradise","Eric James Miller","4.11"
"Smoky Mountain Tracks (Raine Stockton Dog Mysteries, #1)","Donna Ball","3.96"
"Mint Juleps and Justice (Adams Grove, #5)","Nancy Naigle","3.67"
"No Bones About It (A Ginger Barnes Mystery, #4)","Donna Huston Murray","3.38"
"Cambridge Blue (DC Gary Goodhew Mystery #1)","Alison Bruce","3.64"
"Best in Show (Melanie Travis, #10)","Laurien Berenson","3.95"
"Laidlaw (Jack Laidlaw, #1)","William McIlvanney","3.87"
"Raven Black (Shetland Island, #1)","Ann Cleeves","3.87"
"Silesian Station (John Russell, #2)","David Downing","3.97"
"Burning Love (Hell Yeah! Cajun Style, #1; Hell Yeah!, #6)","Sable Hunter","4.22"
"Backlash (Anna Travis, #8)","Lynda La Plante","3.96"
"The Mournful Teddy (A Bear Collector's Mystery #1)","John J. Lamb","3.97"
"Book of Shadows","Alexandra Sokoloff","3.71"
"Kauai Temptations","Terry Ambrose","3.96"
"Reunion with Death","Sheila Connolly","3.67"
"Alley Kat Blues (Kat Colorado, #6)","Karen Kijewski","3.92"
"To Steal an Election","Larry Winebrenner","reall"
"Serpent's Tooth (Peter Decker/Rina Lazarus, #10)","Faye Kellerman","3.94"
"The Poison Tree","Erin Kelly","3.67"
"The Midnight Line (Jack Reacher, #22)","Lee Child","4.15"
