"Offence Id","Date Reported","Date Occured","Time Occured","Location","No: of Victims","Shift of the victim","Day Occured","Loc Type","Crime Type","Neighbourhood","NPU","X-Co-ordinate","Y-Co-ordinate"
173261902,"11/22/2017","11/22/2017","16:00:00","566 CENTRAL PARK PL NE",1,"Eve","Wed",31,"ROBBERY-PEDESTRIAN","Old Fourth Ward","M",-84.37785,33.76973
173261920,"11/22/2017","11/22/2017","16:55:00","835 OGLETHORPE AVE SW",1,"Eve","Wed",26,"LARCENY-NON VEHICLE","West End","T",-84.41564,33.73592
173261976,"11/22/2017","11/20/2017","18:00:00","650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE",1,"Eve","Mon",24,"LARCENY-NON VEHICLE","Midtown","E",-84.36561,33.77469
173261980,"11/22/2017","11/22/2017","12:06:00","225 BAKER ST NW",1,"Day","Wed",18,"LARCENY-FROM VEHICLE","Downtown","M",-84.39443,33.76274
173261993,"11/22/2017","11/22/2017","14:00:00","3050 MARTIN L KING JR DR SW",1,"Day","Wed",24,"LARCENY-NON VEHICLE","Harland Terrace","I",-84.48653,33.75237
173262013,"11/22/2017","11/22/2017","17:30:00","50 UPPER ALABAMA ST SW",1,"Eve","Wed",7,"LARCENY-NON VEHICLE","Downtown","M",-84.38964,33.75194
173262035,"11/22/2017","11/22/2017","15:00:00","445 CLEVELAND AVE SE",1,"Eve","Wed",26,"LARCENY-NON VEHICLE","Rosedale Heights","Z",-84.37152,33.68149
173262039,"11/22/2017","11/22/2017","05:00:00","2265 PERRY BLVD NW @ARCHER HEIGHTS APTS",1,"Morn","Wed",18,"ROBBERY-PEDESTRIAN","Scotts Crossing","G",-84.46416,33.80595
173262066,"11/22/2017","11/22/2017","17:53:00","286 BURBANK DR NW",6,"Eve","Wed",20,"AGG ASSAULT","Hunter Hills","K",-84.42956,33.76291
173252651,"11/22/2017","11/21/2017","23:20:00","1783 JOHNSON RD NW",1,"Morn","Tue",18,"AUTO THEFT","Rockdale","G",-84.44593,33.78547
173260034,"11/22/2017","11/21/2017","21:30:00","131 PONCE DE LEON AVE NE",1,"Eve","Tue",18,"LARCENY-FROM VEHICLE","Midtown","E",-84.38304,33.77199
173260036,"11/22/2017","11/22/2017","00:05:00","898 OAK ST SW",3,"Morn","Wed",26,"ROBBERY-PEDESTRIAN","West End","T",-84.41738,33.74057
173260040,"11/22/2017","11/21/2017","22:30:00","215 NORTH AVE NE",3,"Morn","Tue",18,"LARCENY-FROM VEHICLE","Old Fourth Ward","M",-84.38034,33.7706
173260068,"11/22/2017","11/21/2017","21:30:00","387 JOSEPH E LOWERY BLVD SW",1,"Eve","Tue",NA,"LARCENY-FROM VEHICLE","Harris Chiles","T",-84.41777,33.74496
173260201,"11/22/2017","11/21/2017","09:00:00","1680 S GORDON ST SW",1,"Day","Tue",20,"AUTO THEFT","Westview","T",-84.44285,33.73941
173260270,"11/22/2017","11/22/2017","01:40:00","960 CONSTITUTION RD SE",1,"Morn","Wed",20,"AGG ASSAULT","Norwood Manor","Z",-84.35805,33.69307
173260292,"11/22/2017","11/21/2017","23:30:00","1683 LAKEWOOD AVE SE",1,"Morn","Tue",13,"AGG ASSAULT","Lakewood Heights","Y",-84.38035,33.7083
173260334,"11/22/2017","11/22/2017","02:47:00","1140 DOLPHIN DR SW",1,"Morn","Wed",20,"AGG ASSAULT","Cascade Avenue/Road","S",-84.46165,33.72386
173260355,"11/22/2017","11/22/2017","02:59:00","1150 ASTOR AVE SW",1,"Morn","Wed",26,"LARCENY-FROM VEHICLE","Sylvan Hills","X",-84.42678,33.70137
173260395,"11/22/2017","11/22/2017","03:15:00","2371 GLENWOOD AVE SE",1,"Morn","Wed",23,"AUTO THEFT","East Lake","O",-84.30934,33.73966
173260419,"11/22/2017","11/22/2017","03:00:00","1875 NORTH AVE NW",1,"Morn","Wed",13,"LARCENY-FROM VEHICLE","Grove Park","J",-84.44851,33.76869
173260473,"11/22/2017","11/22/2017","02:00:00","1977 KIMBERLY RD SW",1,"Morn","Wed",20,"BURGLARY-RESIDENCE","Ben Hill Terrace","P",-84.52345,33.70028
173260598,"11/22/2017","11/21/2017","23:00:00","1925 MONROE DR NE",3,"Morn","Wed",18,"LARCENY-FROM VEHICLE","Piedmont Heights","F",-84.37506,33.80856
173260632,"11/22/2017","11/22/2017","05:30:00","273 TONI PL SE",1,"Morn","Wed",NA,"AUTO THEFT","Browns Mill Park","Z",-84.38051,33.68733
173260739,"11/22/2017","11/22/2017","06:00:00","2651 ALTAVIEW DR SE",1,"Day","Wed",20,"AUTO THEFT","Rosedale Heights","Z",-84.38101,33.68216
173260741,"11/22/2017","11/21/2017","23:00:00","2685 DONALD LEE HOLLOWELL PKWY NW",1,"Morn","Wed",23,"LARCENY-FROM VEHICLE","Brookview Heights","G",-84.47524,33.77736
173260916,"11/22/2017","11/16/2017","13:45:00","1250 DONNELLY AVE SW",1,"Unk","Unk",26,"LARCENY-FROM VEHICLE","West End","T",-84.4291,33.73359
173260971,"11/22/2017","11/22/2017","09:00:00","372 MORELAND AVE NE",1,"Day","Wed",NA,"LARCENY-NON VEHICLE","Inman Park","N",-84.34959,33.76454
173261058,"11/22/2017","11/21/2017","21:00:00","967 HOWELL PL SW",1,"Morn","Wed",NA,"LARCENY-FROM VEHICLE","West End","T",-84.41917,33.73928
173261080,"11/22/2017","11/21/2017","21:00:00","1414 MARTIN L KING JR DR SW",1,"Eve","Tue",20,"BURGLARY-RESIDENCE","Mozley Park","K",-84.43378,33.75355
173261167,"11/22/2017","11/21/2017","17:00:00","38 28TH ST NW",1,"Unk","Wed",20,"LARCENY-FROM VEHICLE","Ardmore","E",-84.39617,33.80482
173261173,"11/22/2017","11/22/2017","11:25:00","590 CASCADE AVE SW",1,"Day","Wed",12,"LARCENY-NON VEHICLE","West End","T",-84.43276,33.73812
173261210,"11/22/2017","11/21/2017","20:00:00","521 JOSEPH E LOWERY BLVD NW",1,"Morn","Wed",20,"BURGLARY-RESIDENCE","English Avenue","L",-84.41719,33.76901
173261212,"11/22/2017","05/01/2017","07:00:00","211 TUDOR ST SW",21,"Unk","Unk",NA,"AGG ASSAULT","Mechanicsville","V",-84.39538,33.73063
173261227,"11/22/2017","11/16/2017","12:00:00","2399 PIEDMONT RD NE",1,"Unk","Unk",18,"LARCENY-FROM VEHICLE","Lindbergh/Morosgo","B",-84.36744,33.82039
173261259,"11/22/2017","11/20/2017","19:00:00","851 OAK ST SW",1,"Eve","Mon",NA,"LARCENY-NON VEHICLE","West End","T",-84.41599,33.74074
173261305,"11/22/2017","11/22/2017","12:00:00","1355 PEACHTREE ST NE",1,"Day","Wed",18,"AGG ASSAULT","Midtown","E",-84.38566,33.79161
173261328,"11/22/2017","11/22/2017","12:29:00","325 BROWNLEE RD SW;",2,"Day","Wed",13,"AGG ASSAULT",NA,"I",-84.4967,33.74936
173261338,"11/22/2017","11/21/2017","17:00:00","1024 MCLYNN AVE NE",1,"Eve","Tue",13,"AUTO THEFT","Morningside/Lenox Park","F",-84.35357,33.78893
173261399,"11/22/2017","11/22/2017","13:05:00","180 UNIVERSITY AVE SW",1,"Day","Wed",23,"LARCENY-FROM VEHICLE","Pittsburgh","V",-84.39375,33.72164
173261449,"11/22/2017","11/22/2017","13:39:00","392 PAGE AVE NE",1,"Day","Wed",13,"LARCENY-FROM VEHICLE","Candler Park","N",-84.33424,33.76501
173261528,"11/22/2017","11/22/2017","13:30:00","3330 PIEDMONT RD NE @KROGER - PIEDMONT",1,"Day","Wed",7,"LARCENY-NON VEHICLE","Buckhead Forest","B",-84.37462,33.84564
173261540,"11/22/2017","11/22/2017","13:00:00","116 WADDELL ST NE",1,"Day","Wed",13,"LARCENY-FROM VEHICLE","Inman Park","N",-84.36326,33.75745
173261545,"11/22/2017","11/22/2017","13:40:00","1495 CHATTAHOOCHEE AVE NW",1,"Day","Wed",18,"LARCENY-FROM VEHICLE","Underwood Hills","D",-84.43622,33.80887
173261607,"11/22/2017","11/22/2017","13:43:00","505 WHITEHALL ST SW",1,"Day","Wed",26,"LARCENY-NON VEHICLE","Mechanicsville","V",-84.40436,33.7438
173262452,"11/22/2017","11/22/2017","16:00:00","3405 LENOX RD NE",3,"Eve","Wed",18,"LARCENY-FROM VEHICLE","Lenox","B",-84.35947,33.848
