"Offence Id","Date Reported","Date Occured","Time Occured","Location","No: of Victims","Shift of the victim","Day Occured","Loc Type","Crime Type","Neighbourhood","NPU","X-Co-ordinate","Y-Co-ordinate"
173650072,"12/31/2017","12/30/2017","23:15:00","43 JESSE HILL JR DR NE",2,"Morn","Sat",13,"LARCENY-FROM VEHICLE","Downtown","M",-84.38013,33.75582
173650102,"12/31/2017","12/18/2017","13:00:00","1169 ATLANTIC DR NW",1,"Unk","Unk",13,"LARCENY-FROM VEHICLE","Home Park","E",-84.39745,33.78674
173650144,"12/31/2017","12/30/2017","22:01:00","633 PRYOR ST SW",1,"Morn","Sat",18,"LARCENY-FROM VEHICLE","Mechanicsville","V",-84.39486,33.7376
173650149,"12/31/2017","12/30/2017","20:00:00","333 NELSON ST SW",1,"Eve","Sat",18,"LARCENY-FROM VEHICLE","Castleberry Hill","M",-84.39887,33.75156
173650159,"12/31/2017","12/31/2017","00:41:00","2348 CASCADE RD SW",2,"Morn","Sun",18,"LARCENY-FROM VEHICLE","Adams Park","R",-84.46522,33.72146
173650180,"12/31/2017","12/30/2017","23:00:00","1245 GLENWOOD AVE SE",1,"Morn","Sun",18,"LARCENY-FROM VEHICLE","East Atlanta","W",-84.3466,33.74006
173650236,"12/31/2017","12/31/2017","01:55:00","351 CHEROKEE AVE SE",1,"Morn","Sun",26,"ROBBERY-PEDESTRIAN","Grant Park","W",-84.37373,33.74505
173650241,"12/31/2017","12/31/2017","00:00:00","461 PONCE DE LEON AVE NE",1,"Morn","Sun",18,"LARCENY-FROM VEHICLE","Old Fourth Ward","M",-84.3719,33.77303
173650295,"12/31/2017","12/30/2017","00:00:00","437 MEMORIAL DR SE",1,"Unk","Sat",13,"LARCENY-FROM VEHICLE","Grant Park","W",-84.37285,33.74639
173650389,"12/31/2017","12/31/2017","00:00:00","1053 LINAM ST SE",1,"Morn","Sun",26,"BURGLARY-RESIDENCE","Peoplestown","V",-84.38625,33.72579
173650449,"12/31/2017","12/31/2017","00:40:00","683 PRYOR ST SW",1,"Morn","Sun",13,"AUTO THEFT","Mechanicsville","V",-84.39495,33.73616
173650562,"12/31/2017","12/31/2017","00:00:00","192 CHICAMAUGA AVE SW",1,"Morn","Sun",NA,"LARCENY-FROM VEHICLE","Mozley Park","K",-84.43192,33.74974
173650568,"12/31/2017","12/31/2017","06:00:00","2640 METROPOLITAN PKWY SW",1,"Morn","Sun",NA,"BURGLARY-NONRES","Perkerson","X",-84.40766,33.68243
173650573,"12/31/2017","12/31/2017","06:00:00","201 MOURY AVE SW",2,"Morn","Sun",26,"ROBBERY-RESIDENCE","The Villages at Carver","Y",-84.39276,33.71691
173650617,"12/31/2017","12/31/2017","07:25:00","12 ATLANTA AVE SE",1,"Day","Sun",7,"AUTO THEFT","Peoplestown","V",-84.38742,33.73048
173650717,"12/31/2017","12/30/2017","16:00:00","1999 BENT CREEK WAY SW",1,"Morn","Sat",26,"AUTO THEFT","Campbellton Road","R",-84.46574,33.70087
173650749,"12/31/2017","12/31/2017","09:29:00","1319 AKRIDGE ST NW",1,"Day","Sun",99,"LARCENY-FROM VEHICLE","Hunter Hills","K",-84.43107,33.75831
173650753,"12/31/2017","12/31/2017","05:00:00","1673 JACKSON SQ NW",1,"Morn","Sun",20,"LARCENY-FROM VEHICLE","Lincoln Homes","G",-84.47527,33.79671
173650754,"12/31/2017","12/31/2017","09:00:00","1723 LAKEWOOD AVE SE",1,"Day","Sun",24,"LARCENY-NON VEHICLE","Lakewood Heights","Y",-84.38031,33.70678
173650781,"12/31/2017","12/30/2017","16:00:00","3342 PEACHTREE RD NE",1,"Unk","Sun",18,"LARCENY-FROM VEHICLE","North Buckhead","B",-84.36983,33.84746
173650801,"12/31/2017","12/31/2017","00:00:00","144 MAYSON AVE NE",1,"Morn","Sun",18,"LARCENY-FROM VEHICLE","Edgewood","O",-84.33868,33.75757
173650815,"12/31/2017","12/31/2017","10:30:00","595 PIEDMONT AVE NE @PUBLIX - PIEDMONT",1,"Day","Sun",12,"LARCENY-NON VEHICLE","Old Fourth Ward","M",-84.38023,33.77067
173650847,"12/31/2017","12/31/2017","10:45:00","1850 METROPOLITAN PKWY SW",1,"Day","Sun",23,"LARCENY-NON VEHICLE","Sylvan Hills","X",-84.40795,33.70369
173650915,"12/31/2017","12/31/2017","11:39:00","1328 SHARON ST NW",1,"Day","Sun",20,"LARCENY-FROM VEHICLE","Hunter Hills","K",-84.43089,33.75437
173650929,"12/31/2017","12/30/2017","22:00:00","1005 BALDWIN ST SW",4,"Morn","Sun",18,"LARCENY-FROM VEHICLE","Ashview Heights","T",-84.42057,33.74647
173650938,"12/31/2017","12/31/2017","11:30:00","450 16TH ST NW",2,"Day","Sun",18,"LARCENY-FROM VEHICLE","Home Park","E",-84.40344,33.78852
173650943,"12/31/2017","12/31/2017","11:50:00","568 CHAPPELL RD NW",1,"Day","Sun",18,"LARCENY-FROM VEHICLE","Grove Park","J",-84.43407,33.77075
173650977,"12/31/2017","12/30/2017","22:00:00","207 PEACHTREE CENTER AVE NE",1,"Morn","Sun",18,"LARCENY-FROM VEHICLE","Downtown","M",-84.38554,33.7602
173650979,"12/31/2017","12/30/2017","23:00:00","2890 N FULTON DR NE",1,"Morn","Sun",13,"AUTO THEFT","Garden Hills","B",-84.37784,33.83476
173650993,"12/31/2017","12/31/2017","11:00:00","3393 PEACHTREE RD NE",1,"Day","Sun",8,"LARCENY-NON VEHICLE","Lenox","B",-84.36212,33.84676
173651068,"12/31/2017","12/30/2017","21:00:00","390 STOVALL ST SE",1,"Eve","Sat",18,"LARCENY-FROM VEHICLE","Ormewood Park","W",-84.35429,33.7436
173651103,"12/31/2017","12/26/2017","08:30:00","4127 BEECHWOOD DR NW",1,"Unk","Unk",20,"BURGLARY-RESIDENCE","Mt. Paran/Northside","A",-84.43212,33.86758
173651138,"12/31/2017","12/31/2017","12:00:00","2144 PEACHTREE RD NW",1,"Day","Sun",18,"AUTO THEFT",NA,"C",-84.39261,33.81305
173651149,"12/31/2017","12/30/2017","19:00:00","185 MONTAG CIR NE",1,"Morn","Sun",99,"LARCENY-FROM VEHICLE","Inman Park","N",-84.36218,33.76013
173651155,"12/31/2017","12/31/2017","12:45:00","1488 BOLTON RD NW",1,"Day","Sun",20,"AUTO THEFT","Atlanta Industrial Park","G",-84.49103,33.79602
173651192,"12/31/2017","12/31/2017","13:40:00","3393 PEACHTREE RD NE @Multiple",1,"Day","Sun",8,"LARCENY-NON VEHICLE","Lenox","B",-84.36212,33.84676
173651239,"12/31/2017","12/30/2017","23:00:00","1635 KENMORE ST SW",1,"Morn","Sun",20,"BURGLARY-RESIDENCE","Cascade Avenue/Road","S",-84.44144,33.72522
173651244,"12/31/2017","12/31/2017","14:30:00","3830 PRINCETON LAKES PKWY SW",1,"Day","Sun",18,"AUTO THEFT","Princeton Lakes","P",-84.51271,33.65639
173651246,"12/31/2017","12/30/2017","21:00:00","1113 COLQUITT AVE NE",1,"Morn","Sun",18,"LARCENY-FROM VEHICLE","Inman Park","N",-84.35096,33.76484
173651261,"12/31/2017","12/31/2017","14:27:00","1788 ELLSWORTH INDUSTRIAL BLVD NW",1,"Day","Sun",18,"AUTO THEFT","Underwood Hills","D",-84.42757,33.80415
173651265,"12/31/2017","12/31/2017","14:50:00","320 FAIRBURN RD SW",1,"Day","Sun",26,"AGG ASSAULT","Fairburn Mays","H",-84.50858,33.7451
173651321,"12/31/2017","12/31/2017","13:00:00","1052 JOHNSONS GROVE NW",1,"Day","Sun",20,"LARCENY-FROM VEHICLE","Rockdale","G",-84.44623,33.78532
173651348,"12/31/2017","12/30/2017","17:00:00","2640 MARTIN L KING JR DR SW",1,"Unk","Sun",20,"BURGLARY-NONRES","Harland Terrace","I",-84.47425,33.75381
173651420,"12/31/2017","12/31/2017","16:04:00","1600 ELLSWORTH INDUSTRIAL BLVD NW",1,"Eve","Sun",NA,"LARCENY-FROM VEHICLE","Blandtown","D",-84.42811,33.79826
173651463,"12/31/2017","12/31/2017","16:00:00","1738 MACARTHUR BLVD NW",4,"Eve","Sun",24,"LARCENY-FROM VEHICLE","Bolton","D",-84.4448,33.81326
173651465,"12/31/2017","12/24/2017","12:00:00","1903 DREW DR NW",1,"Unk","Unk",26,"LARCENY-NON VEHICLE","West Highlands","G",-84.45089,33.79335
173651474,"12/31/2017","12/31/2017","16:28:00","1572 HARDEE ST NE",1,"Eve","Sun",26,"BURGLARY-RESIDENCE","Edgewood","O",-84.33644,33.75546
173651475,"12/31/2017","12/31/2017","13:00:00","1783 JOHNSON RD NW",1,"Day","Sun",18,"LARCENY-FROM VEHICLE","Rockdale","G",-84.44593,33.78547
173651515,"12/31/2017","12/31/2017","13:20:00","1795 PEACHTREE ST NE",2,"Day","Sun",19,"BURGLARY-NONRES","Brookwood Hills","E",-84.39255,33.8038
173651550,"12/31/2017","12/31/2017","14:25:00","492 FLAT SHOALS AVE SE",1,"Day","Sun",8,"LARCENY-NON VEHICLE","East Atlanta","W",-84.34586,33.74085
173651658,"12/31/2017","12/31/2017","18:00:00","2879 LAKEWOOD AVE SW",1,"Eve","Sun",18,"LARCENY-FROM VEHICLE","Sylvan Hills","X",-84.41103,33.69731
173651739,"12/31/2017","12/31/2017","15:30:00","3500 PEACHTREE RD NE @PHIPPS PLAZA",1,"Eve","Sun",18,"LARCENY-FROM VEHICLE","North Buckhead","B",-84.36278,33.85302
173651745,"12/31/2017","12/31/2017","16:00:00","492 LARKIN ST SW",4,"Eve","Sun",13,"LARCENY-FROM VEHICLE","Castleberry Hill","M",-84.4037,33.7476
173651770,"12/31/2017","12/31/2017","14:30:00","656 PRYOR ST SW",1,"Eve","Sun",18,"AUTO THEFT","Mechanicsville","V",-84.39438,33.73699
173651855,"12/31/2017","12/31/2017","03:00:00","180 TED TURNER DR SW",3,"Unk","Sun",NA,"LARCENY-FROM VEHICLE","Downtown","M",-84.39736,33.74958
173651874,"12/31/2017","12/31/2017","20:00:00","1801 HOWELL MILL RD NW",1,"Eve","Sun",21,"AGG ASSAULT","Berkeley Park","D",-84.41278,33.80388
173651991,"12/31/2017","12/31/2017","19:00:00","3365 PIEDMONT RD NE",1,"Eve","Sun",18,"LARCENY-FROM VEHICLE","North Buckhead","B",-84.37284,33.84687
173652018,"12/31/2017","12/31/2017","18:30:00","101 JACKSON ST NE",4,"Eve","Sun",13,"LARCENY-FROM VEHICLE","Sweet Auburn","M",-84.37422,33.75692
173652202,"12/31/2017","12/31/2017","07:00:00","2763 METROPOLITAN PKWY SW",1,"Day","Sun",99,"AUTO THEFT","Hammond Park","X",-84.40816,33.67986
173652324,"12/31/2017","12/31/2017","22:55:00","3777 AMBER RD NW",1,"Eve","Sun",13,"ROBBERY-PEDESTRIAN","Carroll Heights","H",-84.51213,33.77593
173652338,"12/31/2017","12/31/2017","23:04:00","1510B MURPHY AVE SW",1,"Morn","Sun",20,"AGG ASSAULT","Sylvan Hills","X",-84.4257,33.71374
173652362,"12/31/2017","12/31/2017","22:40:00","910 NEW TOWN CIR SE",1,"Eve","Sun",99,"AGG ASSAULT","Thomasville Heights","Z",-84.3598,33.70836
173652436,"12/31/2017","12/31/2017","23:39:00","691 JOHN WESLEY DOBBS AVE NE",1,"Morn","Sun",18,"AUTO THEFT","Old Fourth Ward","M",-84.36484,33.75901
173652440,"12/31/2017","12/31/2017","23:30:00","183 MOUNT ZION RD SE",1,"Morn","Sun",26,"BURGLARY-RESIDENCE","Glenrose Heights","Z",-84.38507,33.67268
173652489,"12/31/2017","12/31/2017","23:30:00","35 NORTHSIDE DR SW",1,"Morn","Sun",26,"AGG ASSAULT","Atlanta University Center","T",-84.40293,33.75356
173642235,"12/31/2017","12/30/2017","22:45:00","3335 MARTIN LUTHER KING JR DR NW",1,"Eve","Sat",18,"ROBBERY-PEDESTRIAN","Adamsville","H",-84.49652,33.7551
173648073,"12/30/2017","12/30/2017","20:45:00","CONCOURSE A @8700 SPINE RD",1,"Eve","Sat",24,"LARCENY-NON VEHICLE",NA,NA,-84.43915,33.64085
173648084,"12/30/2017","12/25/2017","18:00:00","1 HARTSFIELD CENTER PKWY",1,"Unk","Unk",1,"LARCENY-FROM VEHICLE",NA,"X",-84.42723,33.65369
173632313,"12/30/2017","12/29/2017","02:30:00","CHAUMONT SQ NW",1,"Morn","Fri",NA,"RAPE","Cross Creek","C",0,0
173632330,"12/30/2017","12/29/2017","22:11:00","996 ASHBY GROVE",1,"Morn","Fri",13,"AGG ASSAULT","Ashview Heights","T",-84.42079,33.74971
173640022,"12/30/2017","12/28/2017","20:30:00","3223 CAINS HILL PL NW",1,"Unk","Unk",NA,"LARCENY-NON VEHICLE","South Tuxedo Park","B",-84.38044,33.84251
173640085,"12/30/2017","12/30/2017","00:34:00","998 CENTER ST NW",1,"Morn","Sat",20,"BURGLARY-RESIDENCE","Home Park","E",-84.40285,33.782
173640095,"12/30/2017","12/29/2017","22:30:00","254 AUBURN AVENUE",3,"Morn","Sat",13,"LARCENY-FROM VEHICLE","Downtown","M",-84.37942,33.75553
173640129,"12/30/2017","12/30/2017","00:59:00","534 CAMERON M ALEXANDER BLVD NW",1,"Morn","Sat",13,"ROBBERY-PEDESTRIAN","English Avenue","L",-84.40436,33.7681
173640182,"12/30/2017","12/29/2017","22:30:00","800 MARIETTA ST NW",1,"Morn","Fri",13,"LARCENY-FROM VEHICLE","Marietta Street Artery","E",-84.40575,33.77381
173640206,"12/30/2017","12/29/2017","21:00:00","255 TRINITY AVE",1,"Morn","Fri",18,"LARCENY-FROM VEHICLE","Downtown","M",-84.39623,33.75082
173640207,"12/30/2017","12/30/2017","01:30:00","3814 KING ARTHUR RD SW",1,"Morn","Sat",20,"LARCENY-FROM VEHICLE","Kings Forest","P",-84.51283,33.69938
173640249,"12/30/2017","12/30/2017","02:00:00","CRESCENT AVE",1,"Morn","Sat",NA,"RAPE","Midtown","E",0,0
173640302,"12/30/2017","12/30/2017","02:30:00","1278 LOCKWOOD DR SW",1,"Morn","Sat",20,"BURGLARY-RESIDENCE","Venetian Hills","S",-84.43851,33.72028
173640319,"12/30/2017","12/29/2017","11:30:00","72 JACKSON ST SE",1,"Eve","Fri",13,"LARCENY-FROM VEHICLE","Sweet Auburn","M",-84.37403,33.75245
173640395,"12/30/2017","12/30/2017","02:25:00","1983 MARTIN L KING JR DR NW",1,"Morn","Sat",26,"AGG ASSAULT",NA,"I",-84.45241,33.75014
173640410,"12/30/2017","12/30/2017","00:00:00","98 WILLIAM H BORDERS DR SE",1,"Morn","Sat",13,"LARCENY-FROM VEHICLE","Sweet Auburn","M",-84.37486,33.75118
173640595,"12/30/2017","12/30/2017","04:00:00","3000 STONE HOGAN CONNECTOR",1,"Morn","Sat",18,"ROBBERY-PEDESTRIAN","Greenbriar","R",-84.49377,33.67309
173640680,"12/30/2017","12/29/2017","18:30:00","4 ALBEMARLE DR NW",2,"Eve","Fri",20,"AUTO THEFT","Margaret Mitchell","A",-84.43983,33.83593
173640687,"12/30/2017","12/28/2016","00:00:00","199 NORTHSIDE DR SW",1,"Unk","Unk",21,"LARCENY-NON VEHICLE","Atlanta University Center","T",-84.40479,33.74928
173640690,"12/30/2017","12/30/2017","08:00:00","1455 ELLSWORTH INDUSTRIAL BLVD NW",1,"Day","Sat",NA,"LARCENY-FROM VEHICLE","Blandtown","D",-84.42575,33.79579
173640722,"12/30/2017","12/30/2017","09:00:00","655 CLEVELAND AVE.",1,"Day","Sat",23,"LARCENY-FROM VEHICLE","Perkerson","X",-84.41029,33.6824
173640799,"12/30/2017","12/29/2017","21:30:00","2030 MAIN ST NW",1,"Morn","Sat",NA,"AUTO THEFT","Riverside","D",-84.47174,33.81112
173640806,"12/30/2017","12/30/2017","01:00:00","3201 CAINS HILL PL NW",0,"Morn","Sat",21,"LARCENY-NON VEHICLE","South Tuxedo Park","B",-84.38007,33.84192
173640810,"12/30/2017","12/30/2017","10:00:00","1181 MCPHERSON AVE SE",2,"Day","Sat",99,"ROBBERY-COMMERCIAL","East Atlanta","W",-84.34879,33.74299
173640820,"12/30/2017","12/29/2017","20:00:00","901 BOLTON RD NW",1,"Morn","Sat",18,"LARCENY-FROM VEHICLE","Bankhead/Bolton","H",-84.49901,33.77948
173640899,"12/30/2017","12/29/2017","23:00:00","1132 TECHWOOD DR NW @COURTYARD BY MARRIOT",1,"Morn","Sat",NA,"LARCENY-FROM VEHICLE","Home Park","E",-84.39273,33.7855
173640911,"12/30/2017","12/29/2017","11:30:00","470 FLAT SHOALS AVE SE",1,"Unk","Fri",18,"LARCENY-FROM VEHICLE","East Atlanta","W",-84.34622,33.74128
173640946,"12/30/2017","12/30/2017","11:00:00","770 DECKNER AVE SW @PERKERSON PARK",2,"Day","Sat",31,"ROBBERY-PEDESTRIAN","Capitol View","X",-84.41349,33.71272
173640952,"12/30/2017","12/30/2017","11:30:00","2452 MOROSGO WAY NE",1,"Day","Sat",12,"LARCENY-NON VEHICLE","Lindbergh/Morosgo","B",-84.36559,33.82295
173641056,"12/30/2017","12/30/2017","12:30:00","1275 CAROLINE ST NE @TARGET - CAROLINE",1,"Day","Sat",NA,"LARCENY-NON VEHICLE","Edgewood","O",-84.34619,33.75674
173641086,"12/30/2017","12/30/2017","03:30:00","1000 PEACHTREE PARK DR NE",1,"Day","Sat",26,"AUTO THEFT",NA,"E",-84.38943,33.81353
173641142,"12/30/2017","12/30/2017","13:30:00","2221 PEACHTREE RD NE",1,"Day","Sat",NA,"LARCENY-NON VEHICLE",NA,"E",-84.39149,33.81509
173641152,"12/30/2017","11/01/2017","08:00:00","2498 DONALD LEE HOLLOWELL PKWY NW",1,"Unk","Unk",4,"LARCENY-NON VEHICLE","Center Hill","J",-84.46723,33.77566
173641170,"12/30/2017","12/30/2017","14:00:00","506 CHAPPELL RD NW",1,"Day","Sat",20,"LARCENY-NON VEHICLE","Grove Park","J",-84.4339,33.76895
173641178,"12/30/2017","12/30/2017","14:00:00","455 14TH ST NW",1,"Day","Sat",NA,"ROBBERY-PEDESTRIAN","Home Park","E",-84.40208,33.78629
173641221,"12/30/2017","12/30/2017","14:56:00","1275 CAROLINE ST NE",1,"Day","Sat",24,"LARCENY-NON VEHICLE","Edgewood","O",-84.3465,33.75831
173641230,"12/30/2017","12/30/2017","12:50:00","3500 PEACHTREE RD NE @PHIPPS PLAZA",1,"Day","Sat",8,"LARCENY-NON VEHICLE","North Buckhead","B",-84.36278,33.85302
173641234,"12/30/2017","12/30/2017","14:11:00","3535 PEACHTREE RD NE",3,"Day","Sat",18,"LARCENY-FROM VEHICLE","Lenox","B",-84.36021,33.85272
173641270,"12/30/2017","12/29/2017","13:45:00","220 MARIETTA ST NW @OMNI",1,"Unk","Sat",14,"AUTO THEFT","Downtown","M",-84.39472,33.75947
173641277,"12/30/2017","12/30/2017","16:00:00","500 10TH ST",1,"Eve","Sat",18,"LARCENY-FROM VEHICLE",NA,"E",-84.36922,33.78223
173641299,"12/30/2017","12/30/2017","15:00:00","64 WILLIS MILL RD SW",1,"Eve","Sat",26,"AGG ASSAULT","Florida Heights","I",-84.46657,33.7505
173641330,"12/30/2017","12/30/2017","14:00:00","2372 GLENWOOD AVE SE",1,"Day","Sat",32,"ROBBERY-PEDESTRIAN","East Lake","O",-84.3097,33.74001
173641342,"12/30/2017","12/30/2017","15:16:00","1801 HOWELL MILL RD NW",1,"Eve","Sat",8,"LARCENY-NON VEHICLE","Berkeley Park","D",-84.41278,33.80388
173641545,"12/30/2017","12/30/2017","17:27:00","1154 WINDSOR ST SW",1,"Eve","Sat",13,"ROBBERY-PEDESTRIAN","Pittsburgh","V",-84.39822,33.72349
173641558,"12/30/2017","12/30/2017","16:20:00","2841 GREENBRIAR PKWY SW @GREENBRIAR MALL",1,"Eve","Sat",18,"AUTO THEFT","Greenbriar","R",-84.49328,33.68845
173641626,"12/30/2017","12/30/2017","17:15:00","1801 HOWELL MILL RD NW",2,"Eve","Sat",18,"LARCENY-FROM VEHICLE","Berkeley Park","D",-84.41278,33.80388
173641633,"12/30/2017","12/30/2017","18:00:00","1892 HOWELL MILL RD NW",1,"Eve","Sat",18,"AUTO THEFT","Wildwood (NPU-C)","C",-84.41316,33.80673
173641676,"12/30/2017","12/30/2017","02:00:00","600 PHIPPS BLVD NE",1,"Day","Sat",18,"LARCENY-FROM VEHICLE","North Buckhead","B",-84.36531,33.85301
173641747,"12/30/2017","12/30/2017","18:40:00","144 MORELAND AVE NE",1,"Eve","Sat",13,"LARCENY-NON VEHICLE","Reynoldstown","N",-84.34929,33.75698
173641801,"12/30/2017","12/30/2017","17:30:00","215 SILVER SPRINGS CIRCLE SW",2,"Eve","Sat",13,"LARCENY-FROM VEHICLE","Florida Heights","I",-84.4655,33.74997
173641838,"12/30/2017","12/30/2017","17:30:00","97 ESTORIA ST SE",2,"Eve","Sat",18,"LARCENY-FROM VEHICLE","Cabbagetown","N",-84.36339,33.75179
173641887,"12/30/2017","12/30/2017","20:00:00","2423 MARTIN LUTHER KING",1,"Eve","Sat",20,"ROBBERY-PEDESTRIAN","Florida Heights","I",-84.46623,33.75183
173641916,"12/30/2017","12/30/2017","19:30:00","3393 PEACHTREE RD NE",1,"Eve","Sat",8,"LARCENY-NON VEHICLE","Lenox","B",-84.36212,33.84676
173641949,"12/30/2017","12/30/2017","20:30:00","3041 LANDRUM DR SW",1,"Eve","Sat",NA,"ROBBERY-PEDESTRIAN","Southwest","R",-84.48782,33.70649
173641988,"12/30/2017","12/30/2017","21:01:00","1649 FAIRBURN RD SW",1,"Eve","Sat",13,"AGG ASSAULT",NA,"P",-84.50718,33.70925
173642005,"12/30/2017","12/30/2017","19:00:00","1284 W PACES FERRY RD NW",1,"Eve","Sat",18,"LARCENY-FROM VEHICLE","West Paces Ferry/Northside","A",-84.42869,33.84862
173642007,"12/30/2017","12/30/2017","21:10:00","515 FULTON ST SW",2,"Eve","Sat",26,"AGG ASSAULT","Mechanicsville","V",-84.40447,33.741
173642073,"12/30/2017","12/30/2017","20:00:00","492 LARKIN ST",3,"Eve","Sat",13,"LARCENY-FROM VEHICLE","Castleberry Hill","M",-84.4037,33.7476
173642088,"12/30/2017","12/30/2017","18:00:00","1888 HOLLYWOOD RD NW",1,"Eve","Sat",NA,"LARCENY-NON VEHICLE","Riverside","D",-84.47158,33.80726
173642119,"12/30/2017","12/30/2017","22:45:00","3335 MARTIN L KING JR DR SW",1,"Eve","Sat",18,"LARCENY-NON VEHICLE","Adamsville","H",-84.49736,33.75392
173630039,"12/29/2017","12/29/2017","00:00:00","410 14TH ST NW",1,"Morn","Fri",18,"LARCENY-FROM VEHICLE","Home Park","E",-84.40047,33.78589
173630133,"12/29/2017","12/28/2017","17:00:00","265 PONCE DE LEON AVE NE",1,"Eve","Thu",18,"LARCENY-FROM VEHICLE","Midtown","E",-84.37869,33.77206
173630226,"12/29/2017","12/28/2017","10:00:00","1920 MOORES MILL RD NW",2,"Eve","Thu",20,"BURGLARY-RESIDENCE","Ridgewood Heights","C",-84.44933,33.8225
173630444,"12/29/2017","12/29/2017","03:25:00","532 CLEVELAND AVE SW",1,"Morn","Fri",13,"AGG ASSAULT","Hammond Park","X",-84.40639,33.68067
173630579,"12/29/2017","12/28/2017","18:00:00","2750 VINEYARDS DR SE",1,"Morn","Fri",26,"LARCENY-FROM VEHICLE","Rosedale Heights","Z",-84.36937,33.67977
173630650,"12/29/2017","12/28/2017","21:30:00","717 LEE ST SW",1,"Morn","Fri",NA,"LARCENY-FROM VEHICLE","West End","T",-84.41421,33.73516
173630674,"12/29/2017","12/28/2017","21:30:00","695 CHEROKEE AVE SE",1,"Morn","Fri",13,"LARCENY-FROM VEHICLE","Grant Park","W",-84.37364,33.736
173630734,"12/29/2017","12/29/2017","00:00:00","3790 BROWNS MILL RD SW",1,"Morn","Fri",29,"LARCENY-FROM VEHICLE","Blair Villa/Poole Creek","Z",-84.39163,33.65463
173630791,"12/29/2017","12/20/2017","11:45:00","895 RALPH D ABERNATHY BLVD SW",1,"Day","Wed",NA,"AUTO THEFT","West End","T",-84.41751,33.7398
173630900,"12/29/2017","12/23/2017","08:00:00","1700 STANTON RD SW",1,"Day","Sat",NA,"LARCENY-NON VEHICLE",NA,"R",-84.44349,33.70863
173630929,"12/29/2017","12/29/2017","00:00:00","3755 BROWNS MILL RD SW",1,"Morn","Fri",29,"BURGLARY-NONRES","Glenrose Heights","Z",-84.38996,33.6587
173630945,"12/29/2017","12/28/2017","17:30:00","855 LORIDANS DR NE",2,"Morn","Fri",20,"BURGLARY-RESIDENCE","North Buckhead","B",-84.35884,33.87355
173630956,"12/29/2017","12/29/2017","03:28:00","1074 HIGH POINT TER SW",1,"Morn","Fri",20,"LARCENY-FROM VEHICLE","High Point","Y",-84.39473,33.71635
173630965,"12/29/2017","12/29/2017","10:30:00","1275 CAROLINE ST NE @TARGET - CAROLINE",1,"Day","Fri",8,"LARCENY-NON VEHICLE","Edgewood","O",-84.3461,33.75684
173631074,"12/29/2017","12/29/2017","11:00:00","2905 SPRINGDALE RD SW",1,"Day","Fri",26,"LARCENY-NON VEHICLE","Hammond Park","X",-84.41601,33.67597
173631100,"12/29/2017","12/28/2017","17:30:00","851 LORIDANS DR",2,"Morn","Fri",NA,"BURGLARY-RESIDENCE","North Buckhead","B",-84.35915,33.87353
173631109,"12/29/2017","12/28/2017","18:00:00","94 LUCY ST SE",1,"Unk","Fri",13,"LARCENY-FROM VEHICLE","Sweet Auburn","M",-84.37311,33.75178
173631129,"12/29/2017","12/29/2017","12:00:00","1275 CAROLINE ST NE @TARGET - CAROLINE",1,"Day","Fri",12,"LARCENY-NON VEHICLE","Edgewood","O",-84.34619,33.75674
173631162,"12/29/2017","12/28/2017","19:00:00","310 ASHBURTON AVE SE",1,"Unk","Fri",20,"BURGLARY-RESIDENCE","East Lake","O",-84.29299,33.74415
173631247,"12/29/2017","12/29/2017","13:00:00","464 MORELAND AVE JUNKMAND DAUGHTER",1,"Day","Fri",99,"LARCENY-NON VEHICLE","Inman Park","N",-84.34915,33.76686
173631252,"12/29/2017","12/29/2017","00:01:00","2905 SPRINGDALE RD SW",1,"Morn","Fri",26,"AUTO THEFT","Hammond Park","X",-84.4168,33.67578
173631271,"12/29/2017","12/28/2017","17:00:00","645 11TH ST NW",1,"Unk","Fri",99,"LARCENY-FROM VEHICLE","Home Park","E",-84.40824,33.78309
173631307,"12/29/2017","12/28/2017","19:00:00","255 HOLLY RD NW",1,"Morn","Fri",20,"LARCENY-FROM VEHICLE","Hunter Hills","K",-84.43746,33.76232
173631337,"12/29/2017","12/23/2017","16:00:00","2115 MONROE DR NE",1,"Unk","Unk",NA,"BURGLARY-NONRES","Piedmont Heights","F",-84.37274,33.81021
173631347,"12/29/2017","12/28/2017","23:49:00","89 HONOUR CIR NW",1,"Morn","Fri",20,"BURGLARY-RESIDENCE","Tuxedo Park","A",-84.38658,33.85184
173631382,"12/29/2017","12/29/2017","10:00:00","2124 CHESHIRE BRIDGE RD NE",3,"Day","Fri",26,"BURGLARY-RESIDENCE","Lindridge/Martin Manor","F",-84.35424,33.81307
173631473,"12/29/2017","12/29/2017","14:02:00","CHARLES ALLEN DR NE / 10TH ST NE",1,"Day","Fri",99,"LARCENY-FROM VEHICLE","Midtown","E",-84.37279,33.78177
173631489,"12/29/2017","12/29/2017","14:00:00","1995 METROPOLITAN PKWY SW",1,"Day","Fri",18,"LARCENY-FROM VEHICLE","Sylvan Hills","X",-84.40946,33.6992
173631522,"12/29/2017","12/29/2017","14:50:00","1642 MCLENDON AVE NE",1,"Day","Fri",12,"LARCENY-NON VEHICLE","Candler Park","N",-84.33365,33.7651
173631632,"12/29/2017","12/29/2017","16:28:00","464 MORELAND AVE NE",1,"Eve","Fri",24,"LARCENY-NON VEHICLE","Inman Park","N",-84.34915,33.76686
